Acessos	SST_Polpa	Acidez_polpa	Ratio_Polpa	PH_Polpa	MassaFruto	DiamLat	DiamTrans
A1	16.1	0.69	23.22	3.86	2.16	18.27	18.23
A2	15.6	0.55	28.14	3.84	5.11	18.26	18.19
A3	13.9	0.67	20.72	3.65	5.29	18.29	18.85
A4	15.36	0.42	36	3.93	3.47	17.91	17.62
A5	13.6	0.67	20.17	3.67	2.59	16.62	16.33
A6	14.03	0.77	18.08	3.73	2.32	15.93	15.59
A7	15.06	0.58	25.9	3.53	2.21	15.38	14.22
A8	14.13	0.7	20.07	3.72	2.24	15.4	15.23
A9	14.53	0.9	16.07	3.47	5.28	20.69	20.62
A10	13.43	1.07	12.59	3.44	5.97	21.57	21.49
A11	13.16	1.52	8.73	3.33	6.51	22.56	22.07
A12	13	0.93	13.95	3.34	4.17	18.82	18.83
A13	12.6	1.24	10.16	3.11	3.56	17.97	17.77
A14	14.9	0.82	18.2	3.39	2.3	15.58	15.27
A15	14.9	1.13	13.12	3.23	4.77	18.96	18.89
A16	14.86	0.85	17.53	3.6	2.99	15.23	14.91
A17	14.76	1.33	11.02	3.41	4.07	20.21	20.33
A18	15.23	0.69	22	3.49	4.86	18.73	18.71
A19	16.16	1.07	15.1	3.53	4.82	17.81	17.62
A20	15	0.81	18.39	3.61	4.77	19.62	20.1
A21	15	0.97	15.38	3.6	3.8	19.48	19.76
A22	15.66	0.73	21.4	3.53	4.6	19.44	19.9
A23	15.3	0.82	19.2	3.73	2.98	17.89	18.23
A24	13.13	0.56	23.79	3.39	2.11	19.02	18.95
A25	13.56	0.66	20.44	3.33	3.7	16.62	16.63
